VEN,NAME
VEN269,Ven Kehelwala Nanada Thero
VEN270,Ven Kandegedara Wimaladarma Thero
VEN271,Ven Kotikawaththe Dammakusala Thero
VEN272,Ven Kukulegama Shanatha Thero
VEN273,Ven Borella Athula Thero
VEN274,Ven Ambogama Sugathadeera Thero









